id;name;code;facility_type_id
1;Cambridgeshire;California Tasty Plastic Cheese Rubber;25943
2;North Korean Won content zero administration;Automated;27440
3;magenta Quetzal;Gorgeous Gorgeous;92716
4;networks transmitting tan;Bacon;10502
5;Grenada models Rustic;Beauty;9123
6;web-enabled Metal white;Gorgeous Frozen Mouse;23840
7;Cambridgeshire Awesome USB;circuit;14883
8;Future Ergonomic Granite Computer Bermudian Dollar (customarily known as Bermuda Dollar);Gloves;9789
9;infrastructure Identity;Checking Account Fully-configurable Music;79897
10;Bacon Sports Small;customized;61642
