id;lab_id;consignment_id;dispatch_date;sample_count;accepted_sample_count;rejected_sample_count;batch_status;facility_id
1;79508;index plum Cambridgeshire;2020-04-22;54171;21477;51440;Salad Soft;77411
2;42378;technologies Soft Plastic;2020-04-22;56571;51639;52981;wireless Pizza parse;92191
3;10914;bricks-and-clicks;2020-04-22;41684;29049;1717;hard drive Moldovan Leu;85678
4;20751;Liaison paradigms;2020-04-22;20044;92774;60008;Awesome SMTP Wooden;89464
5;62864;COM;2020-04-22;76715;14352;86809;solid state;59713
6;11002;PCI;2020-04-22;84328;64306;21214;Fiji Dollar bandwidth Implemented;10575
7;27449;Cotton Ohio Consultant;2020-04-22;50247;65934;15736;Checking Account;45419
8;53033;Singapore Dollar indexing;2020-04-22;59800;22313;13159;West Virginia;18914
9;21671;models Canyon visualize;2020-04-22;90276;64423;59539;Generic Rubber Towels compressing;56960
10;84759;encoding compelling scale;2020-04-22;631;63207;26051;web services circuit Cape;27665
