id;facility_name;linked_facility_id;facility_id;facility_type;is_active;is_deleted;status;created_by;created_time;modified_by;modified_time
1;overriding 24/365 Moldova;49172;4623;Czech Republic;false;false;Chips;88828;2020-04-22;45119;2020-04-22
2;morph e-markets Planner;42731;88780;SAS best-of-breed orange;false;true;grey Maine Hill;40967;2020-04-22;34786;2020-04-22
3;Kyat budgetary management;4818;7326;interface out-of-the-box;false;false;Monaco;29108;2020-04-23;87633;2020-04-22
4;internet solution;23870;49717;Unbranded Frozen Keyboard Auto Loan Account;false;false;Bypass Squares;96573;2020-04-23;53774;2020-04-22
5;bluetooth orange;86891;19014;Granite Tasty;false;false;SMTP Small withdrawal;71051;2020-04-22;37405;2020-04-23
6;harness reinvent;2070;28316;deposit Rubber parse;false;true;Division Towels withdrawal;91439;2020-04-23;96581;2020-04-22
7;Intranet Books;1478;53011;Refined Concrete Gloves Knoll Egyptian Pound;true;true;Object-based Rustic Concrete Bacon Orchestrator;78884;2020-04-22;70963;2020-04-22
8;1080p system engine;95856;12034;array transmitting Baby;false;false;granular red invoice;45886;2020-04-22;50817;2020-04-23
9;methodologies needs-based generate;49802;53849;Agent Games Wisconsin;true;false;action-items streamline;72204;2020-04-22;10511;2020-04-22
10;Practical Regional Walks;69360;46427;Usability;true;true;Points Avon;93116;2020-04-22;18515;2020-04-22
